TABLE NO.  1
 ID          CELLINE     ADDITIVE    ADDITIVECONC DRUG        DAY         REP         DRUGCONC    DV          Y           IPRED       IRES        IWRES       CWRES       TOP         BOTTOM      IC50        GAMMA       TVTOP       TVBOTTOM    TVIC50      TVGAMMA     IMAX        ETA1        ETA2        ETA3        ETA4        DV          PRED        RES         WRES
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  9.2850E-01  1.0660E+00  1.0660E+00 -1.3746E-01 -4.6062E-01 -4.6062E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  9.2572E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  9.2850E-01  1.0660E+00 -1.3746E-01 -4.6062E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  7.6208E-04  8.7936E-01  9.2704E-01  9.2704E-01 -4.7678E-02 -1.8351E-01 -1.8351E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  9.2572E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  8.7936E-01  9.2704E-01 -4.7678E-02 -1.8351E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  2.2862E-03  7.8998E-01  8.0004E-01  8.0004E-01 -1.0057E-02 -4.4786E-02 -4.4786E-02  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  9.2572E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  7.8998E-01  8.0004E-01 -1.0057E-02 -4.4786E-02
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  6.8587E-03  6.4047E-01  6.1824E-01  6.1824E-01  2.2233E-02  1.2761E-01  1.2761E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  9.2572E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  6.4047E-01  6.1824E-01  2.2233E-02  1.2761E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  2.0576E-02  2.3344E-01  4.2301E-01  4.2301E-01 -1.8957E-01 -1.5726E+00 -1.5726E+00  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  9.2572E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.3344E-01  4.2301E-01 -1.8957E-01 -1.5726E+00
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  6.1728E-02  2.3286E-01  2.6857E-01  2.6857E-01 -3.5710E-02 -4.5285E-01 -4.5285E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  9.2572E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.3286E-01  2.6857E-01 -3.5710E-02 -4.5285E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  1.8519E-01  1.3957E-01  1.7335E-01  1.7335E-01 -3.3781E-02 -6.2277E-01 -6.2277E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  9.2572E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.3957E-01  1.7335E-01 -3.3781E-02 -6.2277E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  5.5556E-01  1.1529E-01  1.2335E-01  1.2335E-01 -8.0637E-03 -1.9072E-01 -1.9072E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  9.2572E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1529E-01  1.2335E-01 -8.0637E-03 -1.9072E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  1.6667E+00  1.1290E-01  9.9300E-02  9.9300E-02  1.3595E-02  3.6719E-01  3.6719E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  9.2572E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1290E-01  9.9300E-02  1.3595E-02  3.6719E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  2.0000E+00  0.0000E+00  8.1962E-01  1.0660E+00  1.0660E+00 -2.4634E-01 -8.2548E-01 -8.2548E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  9.2572E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  8.1962E-01  1.0660E+00 -2.4634E-01 -8.2548E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  2.0000E+00  7.6208E-04  8.3243E-01  9.2704E-01  9.2704E-01 -9.4614E-02 -3.6417E-01 -3.6417E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  9.2572E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  8.3243E-01  9.2704E-01 -9.4614E-02 -3.6417E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  2.0000E+00  2.2862E-03  8.5451E-01  8.0004E-01  8.0004E-01  5.4468E-02  2.4255E-01  2.4255E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  1.0659E+00  7.9174E-02  8.8185E-03  7.3874E-01  9.2572E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  8.5451E-01  8.0004E-01  5.4468E-02  2.4255E-01
